ZCTA5,StateNb,CountyNb,Population
03077,33,015,10684.0
03079,33,015,30095.0
03082,33,011,1621.0
03084,33,011,1382.0
03086,33,011,3982.0
03087,33,015,15817.0
03101,33,011,3885.0
03102,33,011,33396.0
03103,33,011,38033.0
03103,33,015,6.0
03104,33,011,34236.0
03104,33,013,72.0
03104,33,015,16.0
03106,33,013,14799.0
03109,33,011,10580.0
03110,33,011,23322.0
03215,33,009,510.0
03216,33,013,2327.0
03217,33,009,1938.0
03218,33,001,1116.0
03220,33,001,7281.0
03220,33,013,87.0
03221,33,013,2307.0
03222,33,009,5743.0
03223,33,009,3410.0
03224,33,013,2368.0
03225,33,001,3799.0
03226,33,001,1120.0
03226,33,003,25.0
03227,33,003,1113.0
03229,33,013,5919.0
03230,33,013,1256.0
03231,33,013,85.0
03233,33,013,115.0
03234,33,013,4817.0
03235,33,013,8856.0
03237,33,001,2478.0
03238,33,009,44.0
03240,33,009,1385.0
03241,33,009,953.0
03242,33,013,6185.0
03243,33,009,65.0
03243,33,013,1011.0
03244,33,011,7998.0
03244,33,019,3.0
03245,33,009,2017.0
03246,33,001,16905.0
03249,33,001,7698.0
03251,33,009,1631.0
03253,33,001,6558.0
03254,33,001,9.0
03254,33,003,4901.0
03255,33,013,2158.0
03256,33,001,2373.0
03257,33,013,4451.0
03257,33,019,62.0
03258,33,013,2625.0
03259,33,003,236.0
03260,33,013,798.0
03261,33,013,17.0
03261,33,015,4668.0
03262,33,009,1362.0
03263,33,013,4094.0
03264,33,009,7054.0
03266,33,009,2098.0
03268,33,013,1236.0
03269,33,001,3026.0
03273,33,013,259.0
03275,33,013,11946.0
03276,33,001,3981.0
03276,33,013,4785.0
03278,33,013,3126.0
03279,33,009,781.0
03280,33,005,6.0
03280,33,019,1189.0
03281,33,011,9092.0
03282,33,009,845.0
03284,33,019,902.0
03285,33,009,2708.0
03287,33,013,1407.0
03290,33,015,5129.0
03291,33,015,73.0
03293,33,009,72.0
03301,33,013,33352.0
03303,33,013,16516.0
03304,33,013,8229.0
03307,33,013,5600.0
03431,33,005,24978.0
03440,33,011,2726.0
03441,33,005,354.0
03442,33,011,1501.0
03443,33,005,616.0
03444,33,005,1508.0
03445,33,005,666.0
03446,33,005,6351.0
03447,33,005,2351.0
03448,33,005,752.0
03449,33,011,1763.0
03450,33,005,975.0
03451,33,005,3948.0
03452,33,005,5320.0
03455,33,005,2132.0
03456,33,005,749.0
03457,33,005,803.0
03458,33,005,17.0
03458,33,011,6777.0
03461,33,005,6476.0
03462,33,005,1710.0
03464,33,005,1194.0
03465,33,005,2130.0
03466,33,005,1226.0
03467,33,005,1706.0
03470,33,005,4993.0
03561,33,009,6005.0
03570,33,007,9429.0
03574,33,007,30.0
03574,33,009,2484.0
03575,33,007,107.0
03576,33,007,2939.0
03579,23,017,90.0
03579,33,007,368.0
03580,33,009,1344.0
03581,33,007,3053.0
03582,33,007,2337.0
03583,33,007,1038.0
03584,33,007,3490.0
03585,33,009,2626.0
03586,33,009,654.0
03588,33,007,1664.0
03590,33,007,910.0
03592,33,007,1094.0
03593,33,007,329.0
03595,33,007,713.0
03597,33,007,374.0
03598,33,007,3393.0
03601,33,019,376.0
03602,33,005,1864.0
03602,33,019,735.0
03603,33,019,5127.0
03604,33,005,15.0
03605,33,019,1104.0
03607,33,019,314.0
03608,33,005,2811.0
03609,33,005,807.0
03740,33,009,1071.0
03741,33,009,4071.0
03743,33,019,13540.0
03745,33,019,1616.0
03748,33,009,4480.0
03748,33,019,146.0
03750,33,009,938.0
03751,33,019,399.0
03752,33,019,784.0
03753,33,019,3476.0
03755,33,009,10926.0
03765,33,009,487.0
03766,33,009,9838.0
03768,33,009,1736.0
03770,33,019,583.0
03771,33,009,864.0
03773,33,019,7801.0
03774,33,009,1808.0
03777,33,009,1237.0
03779,33,009,769.0
03780,33,009,475.0
03781,33,019,1876.0
03782,33,019,3030.0
03784,33,009,4444.0
03785,33,009,2245.0
03801,33,015,22767.0
03809,33,001,3644.0
03810,33,001,2246.0
03811,33,015,7081.0
03812,33,003,936.0
03813,33,003,3681.0
03814,33,003,2357.0
03816,33,003,1304.0
03817,33,003,452.0
03818,33,003,3478.0
03819,33,015,4208.0
03820,33,017,32800.0
03823,33,017,1928.0
03824,33,017,15498.0
03825,33,017,9326.0
03826,33,015,2693.0
03827,33,015,3307.0
03830,33,003,1611.0
