ZCTA5,StateNb,CountyNb,Population
03832,33,003,405.0
03833,33,015,22662.0
03835,33,017,6758.0
03836,33,003,1689.0
03837,33,001,1471.0
03838,33,003,1150.0
03839,33,017,4058.0
03840,33,015,4076.0
03841,33,015,6486.0
03842,33,015,16048.0
03844,33,015,2428.0
03845,33,003,1093.0
03846,33,003,995.0
03847,33,003,326.0
03848,33,015,6202.0
03849,33,003,1446.0
03850,33,003,340.0
03851,33,017,3891.0
03852,33,017,591.0
03853,33,003,769.0
03854,33,015,1000.0
03855,33,017,2693.0
03856,33,015,1769.0
03857,33,015,9430.0
03858,33,015,4820.0
03860,33,003,3910.0
03861,33,017,4499.0
03862,33,015,4597.0
03864,33,003,1999.0
03865,33,015,7830.0
03867,33,017,22369.0
03868,33,017,6065.0
03869,33,017,2456.0
03870,33,015,5234.0
03871,33,015,250.0
03872,33,003,3981.0
03873,33,015,6557.0
03874,33,015,8542.0
03875,33,003,973.0
03878,33,017,11919.0
03882,33,003,1682.0
03883,33,003,300.0
03884,33,017,4230.0
03885,33,015,7660.0
03886,33,003,1977.0
03887,33,003,364.0
03887,33,017,1787.0
03890,33,003,177.0
03894,33,003,6382.0
03897,33,003,55.0
03901,23,031,7937.0
03902,23,031,2362.0
03903,23,031,6717.0
03904,23,031,8148.0
03905,23,031,1922.0
03906,23,031,4990.0
