"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate
	"Tom Green County, TX"	"48451"	1556	118386	13.14
	"Travis County, TX"	"48453"	15992	1199323	13.33
	"Webb County, TX"	"48479"	5189	271193	19.13
	"Wichita County, TX"	"48485"	1631	131838	12.37
	"Williamson County, TX"	"48491"	6535	528718	12.36
	"Unidentified Counties, TX"	"48999"	59168	4676767	12.65
	"Cache County, UT"	"49005"	2286	122753	18.62
	"Davis County, UT"	"49011"	5698	342281	16.65
	"Salt Lake County, UT"	"49035"	17612	1121354	15.71
	"Utah County, UT"	"49049"	11971	592299	20.21
	"Washington County, UT"	"49053"	2210	160245	13.79
	"Weber County, UT"	"49057"	3876	247560	15.66
	"Unidentified Counties, UT"	"49999"	6811	464725	14.66
	"Chittenden County, VT"	"50007"	1552	161531	9.61
	"Unidentified Counties, VT"	"50999"	4204	463063	9.08
	"Arlington County, VA"	"51013"	3225	230050	14.02
	"Chesterfield County, VA"	"51041"	3885	339009	11.46
	"Fairfax County, VA"	"51059"	14525	1138652	12.76
	"Henrico County, VA"	"51087"	3903	326501	11.95
	"Loudoun County, VA"	"51107"	5335	385945	13.82
	"Prince William County, VA"	"51153"	6845	455210	15.04
	"Spotsylvania County, VA"	"51177"	1542	132010	11.68
	"Stafford County, VA"	"51179"	1711	144361	11.85
	"Alexandria city, VA"	"51510"	2823	155810	18.12
	"Chesapeake city, VA"	"51550"	2877	237940	12.09
	"Hampton city, VA"	"51650"	1727	135410	12.75
	"Newport News city, VA"	"51700"	2814	181825	15.48
	"Norfolk city, VA"	"51710"	3547	245115	14.47
	"Richmond city, VA"	"51760"	3028	223170	13.57
	"Virginia Beach city, VA"	"51810"	5925	452602	13.09
	"Unidentified Counties, VA"	"51999"	38748	3628198	10.68
	"Benton County, WA"	"53005"	2759	193686	14.24
	"Clark County, WA"	"53011"	5665	467018	12.13
	"Cowlitz County, WA"	"53015"	1285	105160	12.22
	"King County, WA"	"53033"	26022	2149970	12.10
	"Kitsap County, WA"	"53035"	3147	264811	11.88
	"Pierce County, WA"	"53053"	11756	861312	13.65
	"Skagit County, WA"	"53057"	1515	123681	12.25
	"Snohomish County, WA"	"53061"	10041	787620	12.75
	"Spokane County, WA"	"53063"	6145	499072	12.31
	"Thurston County, WA"	"53067"	3205	275222	11.65
	"Whatcom County, WA"	"53073"	2279	216800	10.51
	"Yakima County, WA"	"53077"	3935	249636	15.76
	"Unidentified Counties, WA"	"53999"	12751	1094012	11.66
	"Berkeley County, WV"	"54003"	1393	113525	12.27
	"Kanawha County, WV"	"54039"	1968	186241	10.57
	"Unidentified Counties, WV"	"54999"	15718	1531336	10.26
	"Brown County, WI"	"55009"	3336	260401	12.81
	"Dane County, WI"	"55025"	6052	531273	11.39
	"Fond du Lac County, WI"	"55039"	1031	102144	10.09
	"Kenosha County, WI"	"55059"	1936	168183	11.51
	"La Crosse County, WI"	"55063"	1188	118122	10.06
	"Marathon County, WI"	"55073"	1635	135603	12.06
	"Milwaukee County, WI"	"55079"	13658	951448	14.35
	"Outagamie County, WI"	"55087"	2319	184526	12.57
	"Racine County, WI"	"55101"	2417	195140	12.39
	"Rock County, WI"	"55105"	2003	161620	12.39
	"Sheboygan County, WI"	"55117"	1257	115427	10.89
	"Walworth County, WI"	"55127"	967	102959	9.39
	"Washington County, WI"	"55131"	1331	134296	9.91
	"Waukesha County, WI"	"55133"	4008	398424	10.06
	"Winnebago County, WI"	"55139"	1905	169886	11.21
	"Unidentified Counties, WI"	"55999"	21572	2049256	10.53
	"Unidentified Counties, WY"	"56999"	7386	585501	12.61
"Total"			3945875	323127513	12.21
"---"
"Dataset: Natality, 2016-2017 expanded"
"Query Parameters:"
"Year: 2016"
"Group By: County of Residence"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2019 3:15:05 PM"
"---"
